Timestamp,Year of Study,Department,Gender,1. Difficulty Falling Asleep,2. Avg Sleep Hours,3. Waking at Night,4. Sleep Quality,5. Concentration Issues,6. Daytime Fatigue,7. Classes Missed (per week),8. Assignment Impact,9. Screen Time Before Bed,10. Caffeine Use,11. Physical Activity,12. Stress Level,13. Academic Performance
"29/3/2026, 2:11:41 pm",Third year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Never,Average,Rarely,Often,Sometimes (1-2 times a week),Minor impact,Every night,Rarely (1-2 times a week),Never,Extremely high stress,Average
"29/3/2026, 2:44:02 pm",First year,CSE,Male,Rarely (1-2 times a week),7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Good
"2/4/2026, 1:41:42 PM",Third year,CSE,Male,Never,7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Rarely (1-2 times a month),Moderate impact,Every night,Never,Rarely (1-2 times a week),No stress,Excellent
"2/4/2026, 1:48:02 PM",Third year,CSE,Male,Every night,5-6 hours,Often (5-6 times a week),Average,Often,Always,Often (3-4 times a week),Major impact,Every night,Never,Never,Extremely high stress,Average
"2/4/2026, 1:52:00 PM",Third year,EEE,Male,Every night,6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Excellent
"2/4/2026, 1:52:31 PM",Third year,Mechanical,Male,Often (5-6 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Never,Sometimes (3-4 times a week),Low stress,Good
"2/4/2026, 1:53:04 PM",Third year,CSE,Male,Every night,6-7 hours,Often (5-6 times a week),Poor,Sometimes,Always,Often (3-4 times a week),Major impact,Every night,Every day,Never,Low stress,Poor
"2/4/2026, 1:55:02 PM",Third year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Average,Often,Often,Rarely (1-2 times a month),Minor impact,Every night,Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Below Average
"2/4/2026, 1:55:26 PM",Third year,CSE,Male,Never,5-6 hours,Often (5-6 times a week),Good,Often,Sometimes,Sometimes (1-2 times a week),Minor impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
"2/4/2026, 1:56:07 PM",Third year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Average,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Never,Never,High stress,Poor
"2/4/2026, 1:56:39 PM",Third year,Mechanical,Male,Never,6-7 hours,Often (5-6 times a week),Good,Rarely,Rarely,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Good
"2/4/2026, 1:56:50 PM",Third year,EEE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Good,Often,Always,Sometimes (1-2 times a week),Moderate impact,Every night,Every day,Every day,Low stress,Average
"2/4/2026, 2:02:36 PM",Third year,CSE,Male,Every night,5-6 hours,Sometimes (3-4 times a week),Good,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Every night,Every day,Every day,High stress,Good
"2/4/2026, 2:04:10 PM",Third year,CSE,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Average,Always,Always,Often (3-4 times a week),Minor impact,Every night,Never,Rarely (1-2 times a week),High stress,Poor
"2/4/2026, 2:05:10 PM",Third year,CSE,Male,Often (5-6 times a week),Less than 4 hours,Sometimes (3-4 times a week),Average,Always,Sometimes,Often (3-4 times a week),Moderate impact,Every night,Never,Rarely (1-2 times a week),High stress,Average
"2/4/2026, 2:07:26 PM",Third year,CSE,Male,Sometimes (3-4 times a week),5-6 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Never,Rarely (1-2 times a week),High stress,Average
"2/4/2026, 2:08:12 PM",Third year,EEE,Male,Every night,5-6 hours,Often (5-6 times a week),Average,Often,Sometimes,Never,Minor impact,Every night,Never,Often (5-6 times a week),High stress,Average
"2/4/2026, 2:09:24 PM",Third year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Poor,Often,Often,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Never,Rarely (1-2 times a week),Extremely high stress,Average
"2/4/2026, 2:10:58 PM",Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Average,Always,Always,Often (3-4 times a week),Moderate impact,Every night,Never,Never,High stress,Good
"2/4/2026, 2:11:28 PM",Third year,CSE,Male,Every night,5-6 hours,Often (5-6 times a week),Very poor,Rarely,Always,Always,Severe impact,Every night,Never,Never,Low stress,Excellent
"2/4/2026, 2:13:10 PM",Third year,CSE,Male,Often (5-6 times a week),Less than 4 hours,Every night,Poor,Always,Always,Always,Severe impact,Every night,Every day,Every day,Extremely high stress,Average
"2/4/2026, 2:13:18 PM",Third year,CSE,Female,Every night,6-7 hours,Every night,Average,Always,Sometimes,Rarely (1-2 times a month),Moderate impact,Every night,Never,Rarely (1-2 times a week),High stress,Good
"2/4/2026, 2:13:51 PM",Third year,CSE,Male,Every night,5-6 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Minor impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Never,Extremely high stress,Below Average
"2/4/2026, 2:15:27 PM",Third year,CSE,Male,Sometimes (3-4 times a week),5-6 hours,Often (5-6 times a week),Good,Rarely,Rarely,Never,Moderate impact,Every night,Rarely (1-2 times a week),Every day,Low stress,Average
"2/4/2026, 2:16:18 PM",Third year,ECE,Male,Rarely (1-2 times a week),5-6 hours,Sometimes (3-4 times a week),Poor,Always,Always,Always,Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average
"2/4/2026, 2:22:04 PM",Third year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Average,Sometimes,Often,Sometimes (1-2 times a week),Minor impact,Every night,Never,Rarely (1-2 times a week),No stress,Good
"2/4/2026, 2:23:12 PM",Third year,CSE,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Every day,Low stress,Average
"2/4/2026, 2:23:45 PM",Third year,Mechanical,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Average,Often,Sometimes,Sometimes (1-2 times a week),Minor impact,Every night,Never,Every day,High stress,Good
"2/4/2026, 2:24:28 PM",Third year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Good,Often,Sometimes,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Never,Often (5-6 times a week),Low stress,Good
"2/4/2026, 2:26:15 PM",Third year,CSE,Male,Every night,Less than 4 hours,Often (5-6 times a week),Average,Rarely,Sometimes,Sometimes (1-2 times a week),Moderate impact,Never,Every day,Every day,Low stress,Below Average
"2/4/2026, 2:27:53 PM",Third year,CSE,Male,Rarely (1-2 times a week),Less than 4 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Never,Sometimes (3-4 times a week),High stress,Average
"2/4/2026, 2:30:13 PM",Third year,Other,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Moderate impact,Every night,Never,Rarely (1-2 times a week),Extremely high stress,Good
"2/4/2026, 2:39:13 PM",Third year,CSE,Female,Rarely (1-2 times a week),Less than 4 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Never,Moderate impact,Every night,Never,Rarely (1-2 times a week),Extremely high stress,Good
"2/4/2026, 2:39:26 PM",First year,CSE,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Average,Often,Often,Rarely (1-2 times a month),Moderate impact,Every night,Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Below Average
"2/4/2026, 2:39:40 PM",Third year,CSE,Male,Every night,5-6 hours,Often (5-6 times a week),Average,Always,Often,Always,Major impact,Every night,Never,Every day,Low stress,Average
"2/4/2026, 2:39:48 PM",First year,EEE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Average,Always,Often,Rarely (1-2 times a month),Major impact,Rarely (1-2 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Poor
"2/4/2026, 2:40:16 PM",Third year,CSE,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Average,Sometimes,Often,Rarely (1-2 times a month),Minor impact,Every night,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Good
"2/4/2026, 2:41:00 PM",Third year,CSE,Male,Every night,Less than 4 hours,Every night,Very poor,Always,Always,Always,Severe impact,Never,Every day,Every day,No stress,Excellent
"2/4/2026, 2:41:03 PM",Third year,CSE,Female,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Poor,Always,Always,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Never,Extremely high stress,Good
"2/4/2026, 2:42:12 PM",First year,EEE,Male,Sometimes (3-4 times a week),Less than 4 hours,Sometimes (3-4 times a week),Very poor,Never,Always,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Never,Rarely (1-2 times a week),No stress,Average
"2/4/2026, 2:47:02 PM",Third year,CSE,Male,Rarely (1-2 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Often,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Never,Rarely (1-2 times a week),Low stress,Average
"2/4/2026, 2:52:59 PM",Third year,CSE,Male,Never,7-8 hours,Often (5-6 times a week),Good,Sometimes,Always,Never,Moderate impact,Never,Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Good
"2/4/2026, 3:07:57 PM",Third year,CSE,Female,Rarely (1-2 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Rarely,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Average
"2/4/2026, 3:24:28 PM",Third year,ECE,Female,Sometimes (3-4 times a week),5-6 hours,Often (5-6 times a week),Average,Often,Always,Rarely (1-2 times a month),Major impact,Sometimes (3-4 times a week),Never,Never,Extremely high stress,Average
"2/4/2026, 3:24:45 PM",Third year,CSE,Female,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Every night,Never,Never,Extremely high stress,Average
"2/4/2026, 3:24:47 PM",Third year,CSE,Female,Never,5-6 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Minor impact,Every night,Sometimes (3-4 times a week),Never,Extremely high stress,Average
"2/4/2026, 3:32:50 PM",Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Minor impact,Every night,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average
"2/4/2026, 3:38:29 PM",Third year,CSE,Male,Never,5-6 hours,Often (5-6 times a week),Good,Often,Sometimes,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Average
"2/4/2026, 3:54:20 PM",Third year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Minor impact,Every night,Every day,Rarely (1-2 times a week),High stress,Average
"2/4/2026, 4:10:53 PM",Third year,Civil,Female,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Poor,Often,Often,Rarely (1-2 times a month),Major impact,Every night,Never,Never,Extremely high stress,Poor
"2/4/2026, 4:20:20 PM",Third year,CSE,Female,Never,6-7 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Never,Never,High stress,Average
"2/4/2026, 10:25:15 PM",Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Good,Always,Sometimes,Never,Minor impact,Rarely (1-2 times a week),Never,Never,High stress,Good
"4/4/2026, 8:33:21 PM",Third year,EEE,Male,Often (5-6 times a week),5-6 hours,Often (5-6 times a week),Poor,Rarely,Often,Always,Minor impact,Every night,Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Below Average
"6/4/2026, 10:27:04 AM",Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Minor impact,Every night,Never,Never,High stress,Average
"10/4/2026, 9:38:32 PM",Second year,ECE,Male,Rarely (1-2 times a week),7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Good
"10/4/2026, 9:40:02 PM",First year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Rarely,Rarely (1-2 times a month),Moderate impact,Every night,Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Average
"10/4/2026, 7:48:01 PM",Second year,CSE,Female,Rarely (1-2 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Rarely,Rarely,Sometimes (1-2 times a week),Moderate impact,Every night,Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Average
"10/4/2026, 7:49:28 PM",Fourth year,ECE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Average,Rarely,Rarely,Sometimes (1-2 times a week),Moderate impact,Every night,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average
"10/4/2026, 7:50:37 PM",First year,CSE,Female,Rarely (1-2 times a week),7-8 hours,Often (5-6 times a week),Good,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Rarely (1-2 times a week),Low stress,Good
"10/4/2026, 7:51:57 PM",Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Major impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
"10/4/2026, 7:54:05 PM",Third year,ECE,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Average,Rarely,Rarely,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Never,High stress,Average
"10/4/2026, 9:00:17 PM",Third year,CSE,Male,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Every night,Never,Sometimes (3-4 times a week),High stress,Average
"10/4/2026, 9:02:04 PM",Third year,CSE,Male,Never,6-7 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Every night,Never,Often (5-6 times a week),High stress,Below Average
"10/4/2026, 9:04:03 PM",Second year,CSE,Female,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Never,Low stress,Good
"10/4/2026, 9:04:58 PM",Second year,ECE,Female,Rarely (1-2 times a week),7-8 hours,Sometimes (3-4 times a week),Average,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),High stress,Average
"10/4/2026, 9:07:30 PM",Fourth year,CSE,Male,Sometimes (3-4 times a week),6-7 hours,Sometimes (3-4 times a week),Average,Sometimes,Rarely,Sometimes (1-2 times a week),Moderate impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
"10/4/2026, 9:08:40 PM",First year,EEE,Male,Never,7-8 hours,Often (5-6 times a week),Very good,Rarely,Rarely,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Never,High stress,Below Average
"11/4/2026, 9:21:59 AM",Third year,CSE,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Rarely,Never,Minor impact,Rarely (1-2 times a week),Never,Sometimes (3-4 times a week),Low stress,Average
"11/4/2026, 9:30:24 PM",Second year,CSE,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Good
"11/4/2026, 12:02:19 PM",Second year,ECE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Good,Never,Never,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Excellent
"11/4/2026, 12:04:57 PM",Fourth year,CSE,Male,Sometimes (3-4 times a week),5-6 hours,Often (5-6 times a week),Average,Sometimes,Rarely,Rarely (1-2 times a month),Major impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
"14\1/4/2026, 12:06:00 pm",First year,CSE,Female,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Never,Low stress,Average
"11/4/2026, 12:07:23 PM",Second year,Mechanical,Female,Never,7-8 hours,Often (5-6 times a week),Very good,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Rarely (1-2 times a week),High stress,Average
"11/4/2026, 12:09:38 PM",First year,CSE,Male,Rarely (1-2 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Average
"11/4/2026, 12:12:32 PM",Third year,CSE,Female,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Good,Rarely,Rarely,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Never,Rarely (1-2 times a week),High stress,Average
"11/4/2026, 12:13:21 PM",Fourth year,ECE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Average,Rarely,Sometimes,Sometimes (1-2 times a week),Moderate impact,Every night,Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Average
"11/4/2026, 12:15:09 PM",Second year,CSE,Female,Never,6-7 hours,Often (5-6 times a week),Good,Rarely,Rarely,Rarely (1-2 times a month),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Never,High stress,Below Average
"11/4/2026, 3:21:22 PM",Third year,ECE,Male,Every night,More than 8 hours,Every night,Very poor,Never,Never,Never,Severe impact,Never,Never,Never,No stress,Poor
11/4/2026 3:24:47 PM,Third year,CSE,Female,Never,5-6 hours,Often (5-6 times a week),Average,Often,Often,Sometimes (1-2 times a week),Minor impact,Every night,Sometimes (3-4 times a week),Never,Extremely high stress,Average
11/4/2026 3:32:50 PM,Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Minor impact,Every night,Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average
11/4/2026 3:38:29 PM,Third year,CSE,Male,Never,5-6 hours,Often (5-6 times a week),Good,Often,Sometimes,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),High stress,Average
11/4/2026 3:54:20 PM,Third year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Sometimes (1-2 times a week),Minor impact,Every night,Every day,Rarely (1-2 times a week),High stress,Average
11/4/2026 4:10:53 PM,Third year,Civil,Female,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Poor,Often,Often,Rarely (1-2 times a month),Major impact,Every night,Never,Never,Extremely high stress,Poor
11/4/2026 4:20:20 PM,Third year,CSE,Female,Never,6-7 hours,Often (5-6 times a week),Good,Sometimes,Rarely,Rarely (1-2 times a month),Moderate impact,Often (5-6 times a week),Never,Never,High stress,Average
11/4/2026 4:25:15 PM,Third year,CSE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Good,Always,Sometimes,Never,Minor impact,Rarely (1-2 times a week),Never,Never,High stress,Good
11/4/2026 4:33:21 PM,Second year,EEE,Male,Often (5-6 times a week),5-6 hours,Often (5-6 times a week),Poor,Rarely,Often,Always,Minor impact,Every night,Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Below Average
"11/4/2026, 5:58:32 PM",Second year,CSE,Female,Rarely (1-2 times a week),7-8 hours,Often (5-6 times a week),Average,Rarely,Sometimes,Rarely (1-2 times a month),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Good
"12/4/2026, 6:19:08 PM",Second year,CSE,Male,Sometimes (3-4 times a week),5-6 hours,Sometimes (3-4 times a week),Average,Sometimes,Rarely,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Rarely (1-2 times a week),Never,High stress,Average
"12/4/2026, 6:20:53 PM",Second year,ECE,Female,Rarely (1-2 times a week),7-8 hours,Often (5-6 times a week),Good,Never,Rarely,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Never,Sometimes (3-4 times a week),Low stress,Good
"12/4/2026, 6:22:40 PM",Second year,ECE,Female,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Poor,Sometimes,Rarely,Rarely (1-2 times a month),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Average
"12/4/2026, 6:23:16 PM",Second year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Rarely (1-2 times a week),No stress,Average
"12/4/2026, 6:23:26 PM",Second year,EEE,Male,Every night,5-6 hours,Often (5-6 times a week),Poor,Often,Often,Sometimes (1-2 times a week),Major impact,Every night,Never,Every day,High stress,Below Average
"12/4/2026, 6:24:11 PM",Second year,CSE,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Average,Often,Always,Sometimes (1-2 times a week),Moderate impact,Every night,Rarely (1-2 times a week),Rarely (1-2 times a week),High stress,Good
"12/4/2026, 6:24:47 PM",Second year,ECE,Male,Rarely (1-2 times a week),6-7 hours,Often (5-6 times a week),Poor,Sometimes,Often,Often (3-4 times a week),Moderate impact,Every night,Rarely (1-2 times a week),Never,Low stress,Poor
"12/4/2026, 6:25:19 PM",Second year,ECE,Male,Rarely (1-2 times a week),More than 8 hours,Often (5-6 times a week),Good,Rarely,Never,Never,Moderate impact,Never,Never,Never,No stress,Average
"12/4/2026, 6:26:08 PM",Second year,CSE,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Poor,Rarely,Rarely,Sometimes (1-2 times a week),Minor impact,Every night,Never,Sometimes (3-4 times a week),High stress,Average
"12/4/2026, 6:27:05 PM",Second year,CSE,Male,Rarely (1-2 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Rarely (1-2 times a month),Minor impact,Every night,Never,Sometimes (3-4 times a week),High stress,Average
"12/4/2026, 6:27:32 PM",First year,Mechanical,Male,Never,7-8 hours,Often (5-6 times a week),Very good,Never,Rarely,Rarely (1-2 times a month),Moderate impact,Rarely (1-2 times a week),Never,Every day,No stress,Average
"12/4/2026, 6:28:02 PM",Second year,Other,Male,Rarely (1-2 times a week),5-6 hours,Often (5-6 times a week),Average,Sometimes,Often,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Good
"12/4/2026, 6:28:12 PM",Second year,CSE,Male,Never,7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),No stress,Good
